# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
69,0.8,0.8,0,1,0,0,370,0,0,0,8
70,0.8,0.8,0,1,0,0,370,0,0,0,8
71,0.8,0.8,0,1,0,0,370,0,0,0,8
72,0.8,0.8,0,1,0,0,370,0,0,0,8
73,0.8,0.8,0,1,0,0,370,0,0,0,8
74,0.8,0.8,0,1,0,0,370,0,0,0,8
75,0.8,0.8,0,1,0,0,370,0,0,0,8
76,0.8,0.8,0,1,0,0,370,0,0,0,8
77,0.8,0.8,0,1,0,0,370,0,0,0,8
78,0.8,0.8,0,1,0,0,370,0,0,0,8
79,0.8,0.8,0,1,0,0,370,0,0,0,8
80,0.8,0.8,0,1,0,0,370,0,0,0,8
81,0.8,0.8,0,1,0,0,370,0,0,0,8
82,0.8,0.8,0,1,0,0,370,0,0,0,8
83,0.8,0.8,0,1,0,0,370,0,0,0,8
84,0.8,0.8,0,1,0,0,370,0,0,0,8
85,0.8,0.8,0,1,0,0,370,0,0,0,8
86,0.8,0.8,0,1,0,0,370,0,0,0,8
87,0.8,0.8,0,1,0,0,370,0,0,0,8
88,0.8,0.8,0,1,0,0,370,0,0,0,8
89,0.8,0.8,0,1,0,0,370,0,0,0,8
90,0.8,0.8,0,1,0,0,370,0,0,0,8
91,0.8,0.8,0,1,0,0,370,0,0,0,8
92,0.8,0.8,0,1,0,0,370,0,0,0,8
93,0.8,0.8,0,1,0,0,370,0,0,0,8
94,0.8,0.8,0,1,0,0,370,0,0,0,8
95,0.8,0.8,0,1,0,0,370,0,0,0,8
96,0.8,0.8,0,1,0,0,370,0,0,0,8
97,0.8,0.8,0,1,0,0,370,0,0,0,8
98,0.8,0.8,0,1,0,0,370,0,0,0,8
99,0.8,0.8,0,1,0,0,370,0,0,0,8
100,0.8,0.8,0,1,0,0,370,0,0,0,8
101,0.8,0.8,0,1,0,0,370,0,0,0,8
102,0.8,0.8,0,1,0,0,370,0,0,0,8
103,0.8,0.8,0,1,0,0,370,0,0,0,8
104,0.8,0.8,0,1,0,0,370,0,0,0,8
105,0.8,0.8,0,1,0,0,370,0,0,0,8
106,0.8,0.8,0,1,0,0,370,0,0,0,8
107,0.8,0.8,0,1,0,0,370,0,0,0,8
108,0.8,0.8,0,1,0,0,370,0,0,0,8
109,0.8,0.8,0,1,0,0,370,0,0,0,8
110,0.8,0.8,0,1,0,0,370,0,0,0,8
111,0.8,0.8,1,0,0,0,370,1,0,1,8
112,0.8,0.8,1,0,0,0,370,1,0,0,8
113,0.8,0.8,1,0,0,0,370,1,0,0,8
114,0.8,0.8,1,0,0,0,370,1,0,0,8
115,0.8,0.8,1,0,0,0,370,1,0,0,8
116,0.8,0.8,1,0,0,0,370,1,0,0,8
117,0.8,0.8,1,0,0,0,370,1,0,0,8
118,0.8,0.8,1,0,0,0,370,1,0,0,8
119,0.8,0.8,1,0,0,0,370,1,0,0,8
120,0.8,0.8,1,1,0,0,370,1,0,0,8
121,0.8,0.8,1,1,0,0,370,1,0,0,8
122,0.8,0.8,1,1,0,0,370,1,0,0,8
123,0.8,0.8,0,1,1,0,370,0,0,0,8
124,0.8,0.8,0,1,1,0,370,0,0,0,8
125,0.8,0.8,0,1,1,0,370,0,0,0,8
126,0.8,0.8,0,1,1,0,370,0,0,0,8
127,0.8,0.8,0,1,1,0,370,0,0,0,8
128,0.8,0.8,0,1,1,0,370,0,0,0,8
129,0.8,0.8,0,1,1,0,370,0,0,0,8
130,0.8,0.8,0,1,1,0,370,0,0,0,8
131,0.8,0.8,0,1,1,0,370,0,0,0,8
132,0.8,0.8,0,1,1,0,370,0,0,0,8
133,0.8,0.8,0,1,1,0,370,0,0,0,8
134,0.8,0.8,0,1,1,0,370,0,0,0,8
135,0.8,0.8,0,1,1,0,370,0,0,0,8
136,0.8,0.8,0,1,1,0,370,0,0,0,8
137,0.8,0.8,0,1,1,0,370,0,0,0,8
138,0.8,0.8,0,1,1,0,370,0,0,0,8
139,0.8,0.8,0,1,1,0,370,0,0,0,8
140,0.8,0.8,0,1,1,0,370,0,0,0,8
141,0.8,0.8,0,1,1,0,370,0,0,0,8
142,0.8,0.8,0,1,1,0,370,0,0,0,8
143,0.8,0.8,0,1,1,0,370,0,0,0,8
144,0.8,0.8,0,1,1,0,370,0,0,0,8
145,0.8,0.8,0,1,1,0,370,0,0,0,8
146,0.8,0.8,0,1,1,0,370,0,0,0,8
147,0.8,0.8,0,1,1,0,370,0,0,0,8
148,0.8,0.8,0,1,1,0,370,0,0,0,8
149,0.8,0.8,0,1,1,0,370,0,0,0,8
150,0.8,0.8,0,1,1,0,370,0,0,0,8
151,0.8,0.8,0,1,1,0,370,0,0,0,8
152,0.8,0.8,0,1,1,0,370,0,0,0,8
153,0.8,0.8,0,1,1,0,370,0,0,0,8
154,0.8,0.8,0,1,1,0,370,0,0,0,8
155,0.8,0.8,0,1,1,0,370,0,0,0,8
156,0.8,0.8,0,1,1,0,370,0,0,0,8
157,0.8,0.8,0,1,1,0,370,0,0,0,8
158,0.8,0.8,0,1,1,0,370,0,0,0,8
159,0.8,0.8,0,1,1,0,370,0,0,0,8
160,0.8,0.8,0,1,1,0,370,0,0,0,8
161,0.8,0.8,0,1,1,0,370,0,0,0,8
162,0.8,0.8,0,1,1,0,370,0,0,0,8
163,0.8,0.8,0,1,1,0,370,0,0,0,8
164,0.8,0.8,0,1,1,0,370,0,0,0,8
165,0.8,0.8,0,1,1,0,370,0,0,0,8
166,0.8,0.8,0,1,1,0,370,0,0,0,8
167,0.8,0.8,0,1,1,0,370,0,0,0,8
168,0.8,0.8,0,1,1,0,370,0,0,0,8
169,0.8,0.8,0,1,1,0,370,0,0,0,8
170,0.8,0.8,0,1,1,0,370,0,0,0,8
171,0.8,0.8,0,1,1,0,370,0,0,0,8
172,0.8,0.8,0,1,1,0,370,0,0,0,8
173,0.8,0.8,0,1,1,0,370,0,0,0,8
174,0.8,0.8,0,1,1,0,370,0,0,0,8
175,0.8,0.8,0,1,1,0,370,0,0,0,8
176,0.8,0.8,0,1,1,0,370,0,0,0,8
177,0.8,0.8,0,1,1,0,370,0,0,0,8
178,0.8,0.8,0,1,1,0,370,0,0,0,8
179,0.8,0.8,0,1,1,0,370,0,0,0,8
180,0.8,0.8,0,1,1,0,370,0,0,0,8
181,0.8,0.8,0,1,1,0,370,0,0,0,8
182,0.8,0.8,0,1,1,0,370,0,0,0,8
183,0.8,0.8,0,1,1,0,370,0,0,0,8
184,0.8,0.8,0,1,1,0,370,0,0,0,8
185,0.8,0.8,0,1,1,0,370,0,0,0,8
186,0.8,0.8,0,1,1,0,370,0,0,0,8
187,0.8,0.8,0,1,1,0,370,0,0,0,8
188,0.8,0.8,0,1,1,0,370,0,0,0,8
189,0.8,0.8,0,1,1,0,370,0,0,0,8
190,0.8,0.8,0,1,1,0,370,0,0,0,8
191,0.8,0.8,0,1,1,0,370,0,0,0,8
192,0.8,0.8,0,1,1,0,370,0,0,0,8
193,0.8,0.8,0,1,1,0,370,0,0,0,8
194,0.8,0.8,0,1,1,0,370,0,0,0,8
195,0.8,0.8,0,1,1,0,370,0,0,0,8
196,0.8,0.8,0,1,1,0,370,0,0,0,8
197,0.8,0.8,0,1,1,0,370,0,0,0,8
198,0.8,0.8,0,1,1,0,370,0,0,0,8
199,0.8,0.8,0,1,1,0,370,0,0,0,8
200,0.8,0.8,0,1,1,0,370,0,0,0,8
201,0.8,0.8,0,1,1,0,370,0,0,0,8
202,0.8,0.8,0,1,1,0,370,0,0,0,8
203,0.8,0.8,0,1,1,0,370,0,0,0,8
204,0.8,0.8,0,1,1,0,370,0,0,0,8
205,0.8,0.8,0,1,1,0,370,0,0,0,8
206,0.8,0.8,0,1,1,0,370,0,0,0,8
207,0.8,0.8,0,1,1,0,370,0,0,0,8
208,0.8,0.8,0,1,1,0,370,0,0,0,8
209,0.8,0.8,0,1,1,0,370,0,0,0,8
210,0.8,0.8,0,1,1,0,370,0,0,0,8
211,0.8,0.8,0,1,1,0,370,0,0,0,8
212,0.8,0.8,0,1,1,0,370,0,0,0,8
213,0.8,0.8,0,1,1,0,370,0,0,0,8
214,0.8,0.8,0,1,1,0,370,0,0,0,8
215,0.8,0.8,0,1,1,0,370,0,0,0,8
216,0.8,0.8,0,1,1,0,370,0,0,0,8
217,0.8,0.8,0,1,1,0,370,0,0,0,8
218,0.8,0.8,0,1,1,0,370,0,0,0,8
219,0.8,0.8,0,1,1,0,370,0,0,0,8
220,0.8,0.8,0,1,1,0,370,0,0,0,8
221,0.8,0.8,0,1,1,0,370,0,0,0,8
222,0.8,0.8,0,1,1,0,370,0,0,0,8
223,0.8,0.8,0,1,1,0,370,0,0,0,8
224,0.8,0.8,0,1,1,0,370,0,0,0,8
225,0.8,0.8,0,1,1,0,370,0,0,0,8
226,0.8,0.8,0,1,1,0,370,0,0,0,8
227,0.8,0.8,0,1,1,0,370,0,0,0,8
228,0.8,0.8,0,1,1,0,370,0,0,0,8
229,0.8,0.8,0,1,1,0,370,0,0,0,8
230,0.8,0.8,0,1,1,0,370,0,0,0,8
231,0.8,0.8,0,1,1,0,370,0,0,0,8
232,0.8,0.8,0,1,1,0,370,0,0,0,8
233,0.8,0.8,0,1,1,0,370,0,0,0,8
234,0.8,0.8,0,1,1,0,370,0,0,0,8
235,0.8,0.8,0,1,1,0,370,0,0,0,8
236,0.8,0.8,0,1,1,0,370,0,0,0,8
237,0.8,0.8,0,1,1,0,370,0,0,0,8
238,0.8,0.8,0,1,1,0,370,0,0,0,8
239,0.8,0.8,0,1,1,0,370,0,0,0,8
240,0.8,0.8,0,1,1,0,370,0,0,0,8
241,0.8,0.8,0,1,1,0,370,0,0,0,8
242,0.8,0.8,1,0,1,0,370,0,1,1,8
243,0.8,0.8,1,0,1,0,370,0,1,0,8
244,0.8,0.8,1,0,1,0,370,0,1,0,8
245,0.8,0.8,1,0,1,0,370,0,1,0,8
246,0.8,0.8,1,0,1,0,370,0,1,0,8
247,0.8,0.8,1,0,1,0,370,0,1,0,8
248,0.8,0.8,1,0,1,0,370,0,1,0,8
249,0.8,0.8,1,0,1,0,370,0,1,0,8
250,0.8,0.8,1,0,1,0,370,0,1,0,8
251,0.8,0.8,1,0,1,0,370,0,1,0,8
252,0.8,0.8,1,0,1,0,370,0,1,0,8
253,0.8,0.8,1,0,1,0,370,0,1,0,8
254,0.8,0.8,1,0,1,0,370,0,1,0,8
255,0.8,0.8,1,0,1,0,370,0,1,0,8
256,0.8,0.8,1,0,1,0,370,0,1,0,8
257,0.8,0.8,1,0,1,0,370,0,1,0,8
258,0.8,0.8,1,0,1,0,370,0,1,0,8
259,0.8,0.8,1,0,1,0,370,0,1,0,8
260,0.8,0.8,1,0,1,0,370,0,1,0,8
261,0.8,0.8,1,0,1,0,370,0,1,0,8
262,0.8,0.8,1,0,1,0,370,0,1,0,8
263,0.8,0.8,1,0,1,0,370,0,1,0,8
264,0.8,0.8,1,0,1,0,370,0,1,0,8
265,0.8,0.8,1,0,1,0,370,0,1,0,8
266,0.8,0.8,1,0,1,0,370,0,1,0,8
267,0.8,0.8,1,0,1,0,370,0,1,0,8
268,0.8,0.8,1,0,1,0,370,0,1,0,8
269,0.8,0.8,1,0,1,0,370,0,1,0,8
270,0.8,0.8,1,0,1,0,370,0,1,0,8
271,0.8,0.8,1,0,1,0,370,0,1,0,8
272,0.8,0.8,1,0,1,0,370,0,1,0,8
273,0.8,0.8,1,0,1,0,370,0,1,0,8
274,0.8,0.8,1,0,1,0,370,0,1,0,8
275,0.8,0.8,1,0,1,0,370,0,1,0,8
276,0.8,0.8,1,0,1,0,370,0,1,0,8
277,0.8,0.8,1,0,1,0,370,0,1,0,8
278,0.8,0.8,1,0,1,0,370,0,1,0,8
279,0.8,0.8,1,0,1,0,370,0,1,0,8
280,0.8,0.8,1,0,1,0,370,0,1,0,8
281,0.8,0.8,1,0,1,0,370,0,1,0,8
282,0.8,0.8,1,0,1,0,370,0,1,0,8
283,0.8,0.8,1,0,1,0,370,0,1,0,8
284,0.8,0.8,1,0,1,0,370,0,1,0,8
285,0.8,0.8,1,0,1,0,370,0,1,0,8
286,0.8,0.8,1,0,1,0,370,0,1,0,8
287,0.8,0.8,1,0,1,0,370,0,1,0,8
288,0.8,0.8,1,0,1,0,370,0,1,0,8
289,0.8,0.8,1,0,1,0,370,0,1,0,8
290,0.8,0.8,1,0,1,0,370,0,1,0,8
291,0.8,0.8,1,0,1,0,370,0,1,0,8
292,0.8,0.8,1,0,1,0,370,0,1,0,8
293,0.8,0.8,1,0,1,0,370,0,1,0,8
294,0.8,0.8,1,0,1,0,370,0,1,0,8
295,0.8,0.8,1,0,1,0,370,0,1,0,8
296,0.8,0.8,1,0,1,0,370,0,1,0,8
297,0.8,0.8,1,0,1,0,370,0,1,0,8
298,0.8,0.8,1,0,1,0,370,0,1,0,8
299,0.8,0.8,1,0,1,0,370,0,1,0,8
300,0.8,0.8,1,1,1,0,370,0,1,0,8
301,0.8,0.8,1,1,1,0,370,0,1,0,8
302,0.8,0.8,1,1,1,0,370,0,1,0,8
303,0.8,0.8,1,1,1,0,370,0,1,0,8
304,0.8,0.8,1,1,1,0,370,0,1,0,8
305,0.8,0.8,1,1,1,0,370,0,1,0,8
306,0.8,0.8,1,1,1,0,370,0,1,0,8
307,0.8,0.8,1,1,1,0,370,0,1,0,8
308,0.8,0.8,1,1,1,0,370,0,1,0,8
309,0.8,0.8,1,1,1,0,370,0,1,0,8
310,0.8,0.8,1,1,1,0,370,0,1,0,8
311,0.8,0.8,1,1,1,0,370,0,1,0,8
312,0.8,0.8,1,1,1,0,370,0,1,0,8
313,0.8,0.8,1,1,1,0,370,0,1,0,8
314,0.8,0.8,1,1,1,0,370,0,1,0,8
315,0.8,0.8,1,2,1,0,369,0,1,0,8
316,0.8,0.8,1,2,1,0,369,0,1,0,8
317,0.8,0.8,1,2,1,0,369,0,1,0,8
318,0.8,0.8,1,2,1,0,369,0,1,0,8
319,0.8,0.8,1,2,1,0,369,0,1,0,8
320,0.8,0.8,1,2,1,0,369,0,1,0,8
321,0.8,0.8,1,2,1,0,369,0,1,0,8
322,0.8,0.8,1,2,1,0,369,0,1,0,8
323,0.8,0.8,1,2,1,0,369,0,1,0,8
324,0.8,0.8,1,2,1,0,369,0,1,0,8
325,0.8,0.8,1,2,1,0,369,0,1,0,8
326,0.8,0.8,1,3,1,0,368,0,1,0,8
327,0.8,0.8,1,3,1,0,368,0,1,0,8
328,0.8,0.8,1,3,1,0,368,0,1,0,8
329,0.8,0.8,1,3,1,0,368,0,1,0,8
330,0.8,0.8,1,3,1,0,368,0,1,0,8
331,0.8,0.8,1,3,1,0,368,0,1,0,8
332,0.8,0.8,1,3,1,0,368,0,1,0,8
333,0.8,0.8,1,4,1,0,367,0,1,0,8
334,0.8,0.8,1,5,1,0,366,0,1,0,8
335,0.8,0.8,1,5,1,0,366,0,1,0,8
336,0.8,0.8,1,5,1,0,366,0,1,0,8
337,0.8,0.8,1,5,1,0,366,0,1,0,8
338,0.8,0.8,1,5,1,0,366,0,1,0,8
339,0.8,0.8,1,5,1,0,366,0,1,0,8
340,0.8,0.8,1,6,1,0,365,0,1,0,8
341,0.8,0.8,1,6,1,0,365,0,1,0,8
342,0.8,0.8,1,6,1,0,365,0,1,0,8
343,0.8,0.8,1,6,1,0,365,0,1,0,8
344,0.8,0.8,1,6,1,0,365,0,1,0,8
345,0.8,0.8,1,6,1,0,365,0,1,0,8
346,0.8,0.8,1,6,1,0,365,0,1,0,8
347,0.8,0.8,1,6,1,0,365,0,1,0,8
348,0.8,0.8,1,6,1,0,365,0,1,0,8
349,0.8,0.8,1,7,1,0,364,0,1,0,8
350,0.8,0.8,1,7,1,0,364,0,1,0,8
351,0.8,0.8,1,7,1,0,364,0,1,0,8
352,0.8,0.8,1,7,1,0,364,0,1,0,8
353,0.8,0.8,1,7,1,0,364,0,1,0,8
354,0.8,0.8,1,7,1,0,364,0,1,0,8
355,0.8,0.8,1,7,1,0,364,0,1,0,8
356,0.8,0.8,1,7,1,0,364,0,1,0,8
357,0.8,0.8,1,7,1,0,364,0,1,0,8
358,0.8,0.8,1,7,1,0,364,0,1,0,8
359,0.8,0.8,1,7,1,0,364,0,1,0,8
360,0.8,0.8,1,7,1,0,364,0,1,0,8
361,0.8,0.8,1,7,1,0,364,0,1,0,8
362,0.8,0.8,1,7,1,0,364,0,1,0,8
363,0.8,0.8,1,7,1,0,364,0,1,0,8
364,0.8,0.8,1,7,1,0,364,0,1,0,8
365,0.8,0.8,1,7,1,0,364,0,1,0,8
366,0.8,0.8,1,7,1,0,364,0,1,0,8
367,0.8,0.8,1,7,1,0,364,0,1,0,8
368,0.8,0.8,1,7,1,0,364,0,1,0,8
369,0.8,0.8,1,7,1,0,364,0,1,0,8
370,0.8,0.8,1,7,1,0,364,0,1,0,8
371,0.8,0.8,1,7,1,0,364,0,1,0,8
372,0.8,0.8,1,7,1,0,364,0,1,0,8
373,0.8,0.8,1,7,1,0,364,0,1,0,8
374,0.8,0.8,1,7,1,0,364,0,1,0,8
375,0.8,0.8,1,7,1,0,364,0,1,0,8
376,0.8,0.8,1,7,1,0,364,0,1,0,8
377,0.8,0.8,1,7,1,0,364,0,1,0,8
378,0.8,0.8,1,7,1,0,364,0,1,0,8
379,0.8,0.8,1,7,1,0,364,0,1,0,8
380,0.8,0.8,1,7,1,0,364,0,1,0,8
381,0.8,0.8,1,7,1,0,364,0,1,0,8
382,0.8,0.8,1,7,1,0,364,0,1,0,8
383,0.8,0.8,1,7,1,0,364,0,1,0,8
384,0.8,0.8,1,7,1,0,364,0,1,0,8
385,0.8,0.8,1,7,1,0,364,0,1,0,8
386,0.8,0.8,1,7,1,0,364,0,1,0,8
387,0.8,0.8,1,7,1,0,364,0,1,0,8
388,0.8,0.8,1,7,1,0,364,0,1,0,8
389,0.8,0.8,1,7,1,0,364,0,1,0,8
390,0.8,0.8,1,7,1,0,364,0,1,0,8
391,0.8,0.8,1,7,1,0,364,0,1,0,8
392,0.8,0.8,1,7,1,0,364,0,1,0,8
393,0.8,0.8,1,9,1,0,363,0,1,0,8
394,0.8,0.8,1,9,1,0,363,0,1,0,8
395,0.8,0.8,1,9,1,0,363,0,1,0,8
396,0.8,0.8,1,9,1,0,363,0,1,0,8
397,0.8,0.8,1,9,1,0,363,0,1,0,8
398,0.8,0.8,1,9,1,0,363,0,1,0,8
399,0.8,0.8,1,9,1,0,363,0,1,0,8
400,0.8,0.8,1,9,1,0,363,0,1,0,8
401,0.8,0.8,1,9,1,0,363,0,1,0,8
402,0.8,0.8,1,9,1,0,363,0,1,0,8
403,0.8,0.8,1,9,1,0,363,0,1,0,8
404,0.8,0.8,1,9,1,0,363,0,1,0,8
405,0.8,0.8,1,9,1,0,363,0,1,0,8
406,0.8,0.8,1,9,1,0,363,0,1,0,8
407,0.8,0.8,1,9,1,0,363,0,1,0,8
408,0.8,0.8,1,9,1,0,363,0,1,0,8
409,0.8,0.8,1,9,1,0,363,0,1,0,8
410,0.8,0.8,0,9,2,0,363,0,0,0,8
411,0.8,0.8,0,9,2,0,363,0,0,0,8
412,0.8,0.8,0,9,2,0,363,0,0,0,8
413,0.8,0.8,0,9,2,0,363,0,0,0,8
414,0.8,0.8,0,9,2,0,363,0,0,0,8
415,0.8,0.8,0,9,2,0,363,0,0,0,8
416,0.8,0.8,0,9,2,0,363,0,0,0,8
417,0.8,0.8,0,9,2,0,363,0,0,0,8
418,0.8,0.8,0,9,2,0,363,0,0,0,8
419,0.8,0.8,0,9,2,0,363,0,0,0,8
420,0.8,0.8,0,9,2,0,363,0,0,0,8
421,0.8,0.8,0,9,2,0,363,0,0,0,8
422,0.8,0.8,1,8,2,0,363,0,1,1,8
423,0.8,0.8,1,8,2,0,363,0,1,0,8
424,0.8,0.8,1,8,2,0,363,0,1,0,8
425,0.8,0.8,1,8,2,0,363,0,1,0,8
426,0.8,0.8,1,8,2,0,363,0,1,0,8
427,0.8,0.8,1,8,2,0,363,0,1,0,8
428,0.8,0.8,1,8,2,0,363,0,1,0,8
429,0.8,0.8,1,8,2,0,363,0,1,0,8
430,0.8,0.8,1,8,2,0,363,0,1,0,8
431,0.8,0.8,1,8,2,0,363,0,1,0,8
432,0.8,0.8,1,8,2,0,363,0,1,0,8
433,0.8,0.8,1,8,2,0,363,0,1,0,8
434,0.8,0.8,1,8,2,0,363,0,1,0,8
435,0.8,0.8,1,8,2,0,363,0,1,0,8
436,0.8,0.8,1,8,2,0,363,0,1,0,8
437,0.8,0.8,2,7,2,1,363,0,2,1,8
438,0.8,0.8,2,7,2,1,363,0,2,0,8
439,0.8,0.8,2,7,2,1,363,0,2,0,8
440,0.8,0.8,2,7,2,1,363,0,2,0,8
441,0.8,0.8,2,7,2,1,363,0,2,0,8
442,0.8,0.8,2,7,2,1,363,0,2,0,8
443,0.8,0.8,2,7,2,1,363,0,2,0,8
444,0.8,0.8,2,7,2,1,363,0,2,0,8
445,0.8,0.8,2,7,2,1,363,0,2,0,8
446,0.8,0.8,2,7,2,1,363,0,2,0,8
447,0.8,0.8,2,7,2,1,363,0,2,0,8
448,0.8,0.8,2,7,2,1,363,0,2,0,8
449,0.8,0.8,3,6,2,2,363,0,3,1,8
450,0.8,0.8,3,6,2,2,363,0,3,0,8
451,0.8,0.8,3,6,2,2,363,0,3,0,8
452,0.8,0.8,3,6,2,2,363,0,3,0,8
453,0.8,0.8,3,6,2,2,363,0,3,0,8
454,0.8,0.8,3,6,2,2,363,0,3,0,8
455,0.8,0.8,3,6,2,2,363,0,3,0,8
456,0.8,0.8,5,4,2,4,363,0,5,2,8
457,0.8,0.8,5,4,2,4,363,0,5,0,8
458,0.8,0.8,5,4,2,4,363,0,5,0,8
459,0.8,0.8,5,4,2,4,363,0,5,0,8
460,0.8,0.8,5,4,2,4,363,0,5,0,8
461,0.8,0.8,5,4,2,4,363,0,5,0,8
462,0.8,0.8,5,4,2,4,363,0,5,0,8
463,0.8,0.8,6,3,2,5,363,0,6,1,8
464,0.8,0.8,6,3,2,5,363,0,6,0,8
465,0.8,0.8,6,3,2,5,363,0,6,0,8
466,0.8,0.8,6,3,2,5,363,0,6,0,8
467,0.8,0.8,6,3,2,5,363,0,6,0,8
468,0.8,0.8,6,3,2,5,363,0,6,0,8
469,0.8,0.8,6,3,2,5,363,0,6,0,8
470,0.8,0.8,6,3,2,5,363,0,6,0,8
471,0.8,0.8,6,3,2,5,363,0,6,0,8
472,0.8,0.8,7,2,2,6,363,0,7,1,8
473,0.8,0.8,7,2,2,6,363,0,7,0,8
474,0.8,0.8,7,2,2,6,363,0,7,0,8
475,0.8,0.8,7,2,2,6,363,0,7,0,8
476,0.8,0.8,7,2,2,6,363,0,7,0,8
477,0.8,0.8,7,2,2,6,363,0,7,0,8
478,0.8,0.8,7,2,2,6,363,0,7,0,8
479,0.8,0.8,7,2,2,6,363,0,7,0,8
480,0.8,0.8,7,2,2,6,363,0,7,0,8
481,0.8,0.8,7,2,2,6,363,0,7,0,8
482,0.8,0.8,7,2,2,6,363,0,7,0,8
483,0.8,0.8,7,2,2,6,363,0,7,0,8
484,0.8,0.8,7,2,2,6,363,0,7,0,8
485,0.8,0.8,7,2,2,6,363,0,7,0,8
486,0.8,0.8,7,2,2,6,363,0,7,0,8
487,0.8,0.8,7,2,2,6,363,0,7,0,8
488,0.8,0.8,7,2,2,6,363,0,7,0,8
489,0.8,0.8,7,2,2,6,363,0,7,0,8
490,0.8,0.8,7,2,2,6,363,0,7,0,8
491,0.8,0.8,7,2,2,6,363,0,7,0,8
492,0.8,0.8,7,2,2,6,363,0,7,0,8
